date,line,process,defect_type,qty,root_cause
2026-03-01,A,プレス,バリ残り,2,金型摩耗
2026-03-01,B,塗装,塗りムラ,3,スプレーノズル詰まり
2026-03-01,C,溶接,溶接不良,6,電極摩耗
2026-03-01,D,組立,締付不良,2,トルクレンチ校正ずれ
2026-03-02,A,検査,寸法不良,4,測定器校正
2026-03-02,C,溶接,溶接不良,8,アーク不安定
2026-03-03,B,プレス,割れ,1,材料ロット不良
2026-03-03,C,溶接,溶接不良,9,電流変動
2026-03-03,D,塗装,異物付着,2,クリーンルーム管理不備
2026-03-04,A,組立,組付けミス,1,作業手順書不備
2026-03-04,C,溶接,溶接不良,10,アーク不安定
2026-03-05,B,検査,外観キズ,3,搬送時の接触
2026-03-05,C,溶接,溶接不良,7,電極劣化
2026-03-06,A,プレス,バリ残り,3,金型摩耗
2026-03-06,C,溶接,溶接不良,11,振動による位置ずれ
2026-03-07,B,塗装,塗りムラ,2,塗料粘度不適正
2026-03-07,C,溶接,ビード不良,12,溶接パラメータずれ
2026-03-08,D,組立,締付不良,1,工具摩耗
2026-03-08,C,溶接,溶接不良,8,電流不安定
2026-03-09,A,検査,寸法不良,2,温度変化による膨張
2026-03-09,C,溶接,溶接不良,14,アーク不安定＋振動
2026-03-10,B,プレス,バリ残り,2,金型摩耗
2026-03-10,C,溶接,溶接不良,25,ロボット劣化による品質低下
2026-03-10,D,塗装,異物付着,1,フィルタ交換遅れ
2026-03-11,A,組立,組付けミス,2,新人作業者
2026-03-11,C,溶接,溶接不良,30,WLD-003の過熱＋振動
2026-03-11,C,溶接,ビード不良,8,溶接位置精度低下
2026-03-12,B,検査,外観キズ,2,搬送ベルト劣化
2026-03-12,C,溶接,溶接不良,35,冷却系統不良による過熱
2026-03-12,C,溶接,スパッタ過多,10,電流制御不安定
2026-03-13,A,プレス,割れ,1,材料硬度ばらつき
2026-03-13,C,溶接,溶接不良,38,品質基準割れ
2026-03-13,C,溶接,ビード不良,12,振動による軌跡ずれ
2026-03-14,D,組立,締付不良,2,トルクレンチ再校正
2026-03-14,C,溶接,溶接不良,42,振動超過
2026-03-14,C,溶接,スパッタ過多,15,アーク制御異常
2026-03-15,B,塗装,塗りムラ,3,温湿度変動
2026-03-15,C,溶接,溶接不良,45,モーター温度限界
2026-03-16,A,検査,寸法不良,3,測定器ドリフト
2026-03-16,C,溶接,溶接不良,48,安全装置作動後の品質低下
2026-03-16,C,溶接,ビード不良,18,低速運転時の軌跡精度低下
2026-03-17,B,プレス,バリ残り,2,金型摩耗
2026-03-17,C,溶接,溶接不良,52,モーター保護後の品質劣化
2026-03-17,C,溶接,スパッタ過多,20,最低パラメータでの運転
2026-03-17,D,塗装,異物付着,1,エア配管結露
2026-03-18,A,組立,組付けミス,1,部品間違い
2026-03-18,C,溶接,溶接不良,55,複合異常による全面品質低下
2026-03-18,C,溶接,ビード不良,22,暫定対策では品質維持困難
2026-03-18,C,溶接,スパッタ過多,25,電流制御の限界
2026-03-18,B,検査,外観キズ,2,搬送時の衝突
2026-03-02,D,プレス,バリ残り,1,金型クリアランス
2026-03-04,B,塗装,色ムラ,2,塗料ロット差
2026-03-06,D,組立,部品欠品,1,ピッキングミス
2026-03-08,A,プレス,寸法不良,2,プレス圧力変動
2026-03-10,A,塗装,異物付着,1,換気フィルタ
2026-03-12,D,プレス,割れ,1,材料不良
2026-03-14,B,組立,締付不良,1,エア工具圧力低下
2026-03-16,D,検査,外観キズ,2,梱包材による擦れ
2026-03-18,A,プレス,バリ残り,2,金型定期交換時期
