equipment_id,line,failure_date,repair_date,downtime_hours,failure_mode
PRS-001,A,2026-01-10,2026-01-10,2.0,油圧ホース劣化
WLD-002,B,2026-01-15,2026-01-15,1.5,電極摩耗
PRS-003,C,2026-01-22,2026-01-22,3.0,金型破損
WLD-004,D,2026-01-28,2026-01-28,1.0,冷却水フィルタ詰まり
PRS-002,B,2026-02-03,2026-02-03,2.5,圧力センサー故障
WLD-001,A,2026-02-08,2026-02-08,1.5,ワイヤ送給不良
PRS-004,D,2026-02-12,2026-02-12,1.0,安全カバーセンサー誤作動
WLD-003,C,2026-02-05,2026-02-05,2.0,電極摩耗
WLD-003,C,2026-02-18,2026-02-18,3.0,冷却系統のリーク
PRS-001,A,2026-02-20,2026-02-20,1.5,油圧バルブ不良
WLD-002,B,2026-02-25,2026-02-25,2.0,ガスノズル詰まり
PRS-003,C,2026-03-01,2026-03-01,1.0,リミットスイッチ故障
WLD-004,D,2026-03-02,2026-03-02,1.5,ティーチング位置ずれ
PRS-002,B,2026-03-05,2026-03-05,2.0,油圧ポンプ異音
WLD-001,A,2026-03-07,2026-03-07,1.0,アース不良
WLD-003,C,2026-03-03,2026-03-03,2.5,電流制御基板の接触不良
WLD-003,C,2026-03-06,2026-03-06,1.5,冷却ファン異音
WLD-003,C,2026-03-09,2026-03-09,3.0,ベアリング摩耗検知
WLD-003,C,2026-03-10,2026-03-10,5.5,モーター過熱による自動停止
WLD-003,C,2026-03-11,2026-03-11,4.0,過熱再発（冷却能力不足）
WLD-003,C,2026-03-12,2026-03-12,4.5,冷却系統＋振動の複合故障
WLD-003,C,2026-03-13,2026-03-13,5.0,溶接品質基準割れによる停止
WLD-003,C,2026-03-14,2026-03-14,5.5,振動超過による自動停止
WLD-003,C,2026-03-15,2026-03-15,6.0,モーター温度限界到達
WLD-003,C,2026-03-16,2026-03-16,6.5,安全装置作動・応急修理
WLD-003,C,2026-03-17,2026-03-17,7.0,モーター保護作動・暫定対策
WLD-003,C,2026-03-18,2026-03-18,7.5,複合異常・要修理判定
PRS-004,D,2026-03-08,2026-03-08,1.0,エアシリンダーリーク
WLD-004,D,2026-03-10,2026-03-10,1.5,溶接チップ交換
PRS-001,A,2026-03-12,2026-03-12,2.0,金型位置センサー調整
WLD-002,B,2026-03-14,2026-03-14,1.0,ガスホース交換
PRS-003,C,2026-03-15,2026-03-15,1.5,スライド調整
PRS-002,B,2026-03-17,2026-03-17,1.0,安全光線センサー清掃
WLD-001,A,2026-03-18,2026-03-18,1.5,定期電極交換
PRS-004,D,2026-03-14,2026-03-14,0.5,ボルト増し締め
WLD-004,D,2026-03-16,2026-03-16,1.0,ケーブル被覆修理
PRS-001,A,2026-02-05,2026-02-05,1.0,スライドガイド給脂
WLD-002,B,2026-01-20,2026-01-20,2.0,制御基板交換
PRS-003,C,2026-01-25,2026-01-25,1.5,油圧シリンダーOリング交換
WLD-004,D,2026-02-22,2026-02-22,1.0,ティーチング再設定
