timestamp,equipment_id,line,alert_type,severity,message
2026-03-01 10:15,PRS-002,Bライン,圧力異常,INFO,プレス圧力が基準値+3%
2026-03-03 14:30,WLD-001,Aライン,温度上昇,INFO,溶接温度が通常値+2℃
2026-03-05 09:20,PRS-004,Dライン,振動検知,INFO,微小振動を検知（基準内）
2026-03-06 11:45,WLD-003,Cライン,電流変動,INFO,溶接電流が基準値-2%
2026-03-07 08:30,PRS-001,Aライン,油圧低下,INFO,油圧がやや低下（基準内）
2026-03-08 15:00,WLD-002,Bライン,温度上昇,INFO,溶接温度が通常値+1.5℃
2026-03-09 10:00,WLD-003,Cライン,電流変動,WARNING,溶接電流が基準値-5%に変動
2026-03-10 08:15,WLD-003,Cライン,電流異常,WARNING,溶接電流の不安定を検知
2026-03-10 09:30,WLD-003,Cライン,過熱警告,WARNING,モーター温度が警告閾値に接近
2026-03-10 11:00,WLD-003,Cライン,緊急停止,CRITICAL,過熱により自動停止
2026-03-10 14:30,WLD-003,Cライン,復旧完了,INFO,冷却後に手動復旧
2026-03-11 08:45,WLD-003,Cライン,電流変動,WARNING,溶接電流の揺れが継続
2026-03-11 10:20,WLD-003,Cライン,振動異常,WARNING,アーム部に異常振動を検知
2026-03-11 14:00,WLD-003,Cライン,過熱警告,WARNING,モーター温度上昇
2026-03-11 16:15,WLD-003,Cライン,緊急停止,CRITICAL,過熱により自動停止（2回目）
2026-03-12 08:30,WLD-003,Cライン,電流異常,WARNING,起動時の電流スパイク
2026-03-12 10:45,WLD-003,Cライン,振動異常,WARNING,溶接品質に影響する振動レベル
2026-03-12 13:00,WLD-003,Cライン,過熱警告,CRITICAL,冷却系統の能力低下疑い
2026-03-12 15:30,WLD-003,Cライン,復旧完了,INFO,部分的な冷却対策を実施
2026-03-13 08:00,WLD-003,Cライン,電流変動,WARNING,始業時から電流不安定
2026-03-13 09:15,WLD-003,Cライン,振動異常,WARNING,振動レベルが前日より悪化
2026-03-13 11:00,WLD-003,Cライン,緊急停止,CRITICAL,溶接品質基準を下回り停止
2026-03-13 14:30,WLD-003,Cライン,復旧完了,INFO,パラメータ調整後に復旧
2026-03-14 08:15,WLD-003,Cライン,電流異常,WARNING,定常運転時の電流変動幅が拡大
2026-03-14 09:00,WLD-003,Cライン,振動異常,CRITICAL,振動値が即時対応閾値を超過
2026-03-14 10:30,WLD-003,Cライン,緊急停止,CRITICAL,振動超過により自動停止
2026-03-14 13:00,WLD-003,Cライン,復旧完了,INFO,ベアリング点検後に仮復旧
2026-03-15 08:30,WLD-003,Cライン,電流変動,WARNING,仮復旧後も電流不安定が継続
2026-03-15 14:00,WLD-003,Cライン,過熱警告,CRITICAL,モーター温度が限界値に到達
2026-03-16 08:00,WLD-003,Cライン,電流異常,CRITICAL,起動直後から異常電流
2026-03-16 09:30,WLD-003,Cライン,緊急停止,CRITICAL,安全装置作動により停止
2026-03-16 12:15,WLD-003,Cライン,復旧完了,INFO,応急修理後に低速運転で復旧
2026-03-16 15:00,WLD-003,Cライン,振動異常,WARNING,低速運転でも振動検知
2026-03-17 08:00,WLD-003,Cライン,電流異常,CRITICAL,起動時の異常電流パターン検知
2026-03-17 10:00,WLD-003,Cライン,緊急停止,CRITICAL,モーター保護により停止
2026-03-17 13:30,WLD-003,Cライン,復旧完了,INFO,最低限の運転パラメータで再開
2026-03-17 16:00,WLD-003,Cライン,振動異常,WARNING,運転中の振動悪化傾向
2026-03-18 08:00,WLD-003,Cライン,複合異常,CRITICAL,電流・振動・温度の複合異常
2026-03-18 09:00,WLD-003,Cライン,緊急停止,CRITICAL,複合異常により自動停止
2026-03-18 12:30,WLD-003,Cライン,復旧完了,INFO,暫定対策で運転再開（要修理判定）
2026-03-02 14:00,PRS-001,Aライン,圧力異常,INFO,プレス圧力の微小変動
2026-03-04 09:00,WLD-004,Dライン,温度上昇,INFO,通常範囲内の温度変動
2026-03-06 16:00,PRS-003,Cライン,振動検知,INFO,プレス機の定期的な振動
2026-03-08 11:00,WLD-002,Bライン,電流変動,INFO,通常範囲内の変動
2026-03-09 13:00,PRS-004,Dライン,油圧低下,INFO,油圧の微小低下（基準内）
2026-03-11 10:00,PRS-001,Aライン,圧力異常,INFO,プレス圧力が基準値+2%
2026-03-13 15:00,WLD-004,Dライン,温度上昇,INFO,通常範囲内の温度上昇
2026-03-15 09:00,PRS-002,Bライン,振動検知,INFO,微小振動を検知（基準内）
2026-03-17 14:00,WLD-001,Aライン,電流変動,INFO,通常範囲内の変動
2026-03-18 16:00,PRS-004,Dライン,圧力異常,INFO,プレス圧力の微小変動
